action,priority,surface,in_use,issue,key,file,current_en,suggested_en,new_en,current_fr,new_fr,current_de,new_de,current_es,new_es,current_ja,new_ja,current_zh-TW,new_zh-TW,current_zh-CN,new_zh-CN,current_pt,new_pt,current_nl,new_nl,current_sv,new_sv,current_it,new_it,current_uk,new_uk,current_ru,new_ru,current_ko,new_ko,current_tr,new_tr,notes
rewrite,P0,create-task,yes,needs-rewrite|title-case,v4.createTask.confirmViewPlans,public/locales/{code}/translation.json,View Plans,View plans,View plans,Voir les forfaits,Voir les forfaits,Pläne ansehen,Tarife anzeigen,Ver planes,Ver planes,プランを見る,プランを見る,查看方案,前往訂閱,查看套餐,查看套餐,Ver planos,Ir para assinatura,Bekijk abonnementen,Ga naar abonnement,Visa planer,Gå till prenumeration,Vedi piani,Vai all'abbonamento,Переглянути тарифи,Перейти до підписки,Посмотреть тарифы,Перейти к подписке,요금제 보기,구독으로 이동,Planları Görüntüle,Aboneliğe git,
rewrite,P0,create-task,yes,needs-rewrite|grammar-or-jargon,v4.createTask.includeLiquidHelp,public/locales/{code}/translation.json,Translate pending storefront Liquid rules (not Shopify resources). Results appear via DOM replace.,Translate pending third-party storefront text. Translated text replaces the original on the storefront.,Translate pending third-party storefront text. Translated text replaces the original on the storefront.,Traduire les règles Liquid de la boutique en attente (pas les ressources Shopify). Les résultats apparaissent via le remplacement DOM.,Traduisez le texte de vitrine tiers en attente. Le texte traduit remplace l’original sur la vitrine.,Übersetze ausstehende Liquid-Regeln des Storefronts (nicht Shopify-Ressourcen). Ergebnisse erscheinen per DOM-Ersetzung.,Übersetzen Sie ausstehenden Drittanbietertext im Storefront. Der übersetzte Text ersetzt dort das Original.,Traduce las reglas Liquid pendientes de la tienda (no recursos de Shopify). Los resultados aparecen mediante reemplazo de DOM.,Traduce el texto pendiente de terceros de la tienda. El texto traducido sustituye al original en la tienda.,未処理のストアフロントLiquidルールを翻訳します（Shopifyリソースは対象外）。結果はDOM置換で表示されます。,保留中のサードパーティ製ストアフロントテキストを翻訳します。翻訳されたテキストはストアフロント上の元のテキストを置き換えます。,翻譯待處理的商店前端 Liquid 規則（非 Shopify 資源）。結果會透過 DOM 取代方式顯示。,翻譯待處理的第三方商店前端文字。翻譯後的文字會取代商店前端的原文。,翻译待处理的店面 Liquid 规则（非 Shopify 资源）。完成后由店面 DOM 替换生效。,翻译待处理的第三方店面文本。翻译后的文本会替换店面上的原文。,Traduzir regras Liquid pendentes da loja (não os recursos Shopify). Os resultados aparecem através da substituição no DOM.,Traduza o texto pendente de terceiros na loja. O texto traduzido substitui o original na loja.,Vertaal wachtende Liquid-regels voor de winkelpui (niet Shopify-bronnen). Resultaten verschijnen via DOM-vervanging.,Vertaal openstaande tekst van derden in de webshop. De vertaalde tekst vervangt de originele tekst in de webshop.,Översätt väntande Liquid-regler för butiksfasad (inte Shopify-resurser). Resultaten visas via DOM-ersättning.,Översätt väntande text från tredje part i butiken. Den översatta texten ersätter originalet i butiken.,Traduci le regole Liquid del negozio in sospeso (non le risorse Shopify). I risultati vengono visualizzati tramite sostituzione DOM.,Traduci il testo di terze parti in sospeso nella vetrina. Il testo tradotto sostituisce l’originale nella vetrina.,Перекладати правила Liquid для вітрини (не ресурси Shopify). Результати з'являються через заміну DOM.,Перекладіть очікуваний сторонній текст на вітрині. Перекладений текст замінює оригінал на вітрині.,Переводить ожидающие правила Liquid в витрине (не ресурсы Shopify). Результаты появляются через замену DOM.,Переведите ожидающий сторонний текст витрины. Переведённый текст заменяет оригинал на витрине.,대기 중인 스토어프런트 Liquid 규칙(Shopify 리소스 아님)을 번역합니다. 결과는 DOM 대체를 통해 표시됩니다.,대기 중인 타사 스토어프런트 텍스트를 번역합니다. 번역된 텍스트가 스토어프런트의 원문을 대체합니다.,Bekleyen mağaza yüzeyi Liquid kurallarını çevirir (Shopify kaynakları değil). Sonuçlar DOM değişimiyle görünür.,Bekleyen üçüncü taraf mağaza vitrini metnini çevirin. Çevrilen metin mağaza vitrinindeki orijinal metnin yerini alır.,
rewrite,P0,currency,yes,needs-rewrite|title-case,Add Currency,public/locales/{code}/translation.json,Add Currency,Add currency,Add currency,Ajouter une devise,Ajouter une devise,Währung hinzufügen,Währung hinzufügen,Agregar moneda,Añadir moneda,通貨を追加,通貨を追加,新增貨幣,新增貨幣,添加货币,添加货币,Adicionar moeda,Adicionar moeda,Valuta toevoegen,Valuta toevoegen,Lägg till valuta,Lägg till valuta,Aggiungi valuta,Aggiungi valuta,Додати валюту,Додати валюту,Добавить валюту,Добавить валюту,통화 추가,통화 추가,Para birimi ekle,Para birimi ekle,
rewrite,P0,home,yes,needs-rewrite,v4Mvp.recommended.emptyTitle,public/locales/{code}/translation.json,No todo tasks right now,No suggested tasks right now,No suggested tasks right now,Aucune tâche à faire pour le moment,Aucune tâche suggérée pour le moment,Derzeit keine anstehenden Aufgaben,Derzeit keine vorgeschlagenen Aufgaben,No hay tareas pendientes ahora mismo,No hay tareas sugeridas por ahora,現在、Todoタスクはありません,現在、提案されたタスクはありません,目前沒有待辦任務,目前沒有建議任務,当前没有待处理,当前没有建议任务,Não há tarefas pendentes neste momento,Não há tarefas sugeridas neste momento,Geen to-do-taken op dit moment,Er zijn momenteel geen voorgestelde taken,Inga att-göra-uppgifter just nu,Inga föreslagna uppgifter just nu,Nessuna attività da fare al momento,Nessuna attività suggerita al momento,Зараз немає завдань у черзі,Зараз немає запропонованих завдань,Сейчас нет задач,Сейчас нет предложенных задач,현재 할 일 작업이 없습니다,현재 추천 작업이 없습니다,Şu anda yapılacak görev yok,Şu anda önerilen görev yok,
rewrite,P0,home,no,needs-rewrite|title-case|grammar-or-jargon,v4Mvp.recommended.priority,public/locales/{code}/translation.json,Todo Task,Suggested task,Suggested task,Tâche à faire,Tâche suggérée,Offene Aufgabe,Vorgeschlagene Aufgabe,Tarea pendiente,Tarea sugerida,Todoタスク,提案されたタスク,待辦任務,建議任務,待处理,建议任务,Tarefa pendente,Tarefa sugerida,To-do-taak,Voorgestelde taak,Att-göra-uppgift,Föreslagen uppgift,Attività da fare,Attività suggerita,Чергове завдання,Запропоноване завдання,Задача из списка дел,Предложенная задача,할 일 작업,추천 작업,Yapılacak Görev,Önerilen görev,Not referenced by t() in app/; skip unless you still see it in UI
rewrite,P0,home,no,needs-rewrite|grammar-or-jargon,v4Mvp.recommended.title,public/locales/{code}/translation.json,Todo,Suggested,Suggested,À faire,Suggéré,To-do,Vorgeschlagen,Tareas pendientes,Sugerido,Todo,提案,待辦,建議,待处理,建议,Pendentes,Sugerido,To-do,Voorgesteld,Att göra,Föreslagen,Da fare,Suggerito,Справи,Запропоновано,Список дел,Предложено,할 일,추천,Yapılacaklar,Önerilen,Not referenced by t() in app/; skip unless you still see it in UI
rewrite,P0,home,yes,needs-rewrite|grammar-or-jargon,v4Mvp.tabs.recommended,public/locales/{code}/translation.json,Todo ({{count}}),Suggested ({{count}}),Suggested ({{count}}),À faire ({{count}}),Suggéré ({{count}}),Offene Aufgaben ({{count}}),Vorgeschlagen ({{count}}),Por hacer ({{count}}),Sugerido ({{count}}),ToDo ({{count}}),提案 ({{count}}),待辦事項（{{count}}）,建議（{{count}}）,待处理（{{count}}）,建议（{{count}}）,A fazer ({{count}}),Sugerido ({{count}}),Te doen ({{count}}),Voorgesteld ({{count}}),Att göra ({{count}}),Föreslagen ({{count}}),Da fare ({{count}}),Suggerito ({{count}}),Справи ({{count}}),Запропоновано ({{count}}),К выполнению ({{count}}),Предложено ({{count}}),할 일 ({{count}}),추천 ({{count}}),Yapılacaklar ({{count}}),Önerilen ({{count}}),
rewrite,P0,home,yes,needs-rewrite|title-case,v4Mvp.videoCard.guideTitle,public/locales/{code}/translation.json,User Guide,User guide,User guide,Guide utilisateur,Guide utilisateur,Benutzerhandbuch,Benutzerhandbuch,Guía de usuario,Guía del usuario,ご利用ガイド,ユーザーガイド,使用指南,使用指南,使用指南,使用指南,Guia do utilizador,Guia do utilizador,Gebruikershandleiding,Gebruikershandleiding,Användarguide,Användarguide,Guida utente,Guida utente,Посібник користувача,Посібник користувача,Руководство пользователя,Руководство пользователя,사용 가이드,사용 가이드,Kullanıcı kılavuzu,Kullanıcı kılavuzu,
rewrite,P0,home,yes,needs-rewrite|title-case,v4Mvp.videoCard.tutorialTitle,public/locales/{code}/translation.json,Ciwi Translator Tutorial,Ciwi translator tutorial,Ciwi translator tutorial,Tutoriel Ciwi Translator,Tutoriel Ciwi Translator,Ciwi Translator-Tutorial,Ciwi-Translator-Tutorial,Tutorial del Traductor Ciwi,Tutorial de Ciwi Translator,Ciwi Translator チュートリアル,Ciwi Translator チュートリアル,Ciwi 翻譯工具教學,Ciwi 翻譯工具教學,Ciwi Translator 使用教程,Ciwi Translator 使用教程,Tutorial do Ciwi Translator,Tutorial do Ciwi Translator,Ciwi Translator-tutorial,Ciwi Translator-tutorial,Ciwi Translator-handledning,Ciwi Translator-handledning,Tutorial di Ciwi Translator,Tutorial di Ciwi Translator,Інструкція Ciwi Translator,Інструкція Ciwi Translator,Обучающее видео по Ciwi Translator,Обучающее видео по Ciwi Translator,Ciwi 번역기 튜토리얼,Ciwi 번역기 튜토리얼,Ciwi Translator Eğitimi,Ciwi Translator Eğitimi,
rewrite,P0,home-setup-guide,yes,needs-rewrite,v4Mvp.setupGuide.glossary.title,public/locales/{code}/translation.json,How to add a glossary to keep brand-consistent translations,Keep brand terms consistent with a glossary,Keep brand terms consistent with a glossary,Comment ajouter un glossaire pour des traductions fidèles à la marque,Gardez les termes de marque cohérents grâce à un glossaire,So fügst du ein Glossar für markentreue Übersetzungen hinzu,Markenbegriffe mit einem Glossar konsistent halten,Cómo añadir un glosario para traducciones coherentes con la marca,Mantén la coherencia de los términos de marca con un glosario,ブランドに沿った翻訳のための用語集の追加方法,用語集でブランド用語の一貫性を保つ,如何新增詞彙表以保持品牌一致性翻譯,使用詞彙表保持品牌用語一致,如何添加术语表保持品牌一致性翻译,使用术语表保持品牌用语一致,Como adicionar um glossário para traduções consistentes com a marca,Mantenha os termos da marca consistentes com um glossário,Zo voeg je een woordenlijst toe voor merkeigen vertalingen,Houd merktermen consistent met een woordenlijst,Så lägger du till en ordlista för varumärkesenliga översättningar,Håll varumärkestermer konsekventa med en ordlista,Come aggiungere un glossario per traduzioni coerenti con il brand,Mantieni coerenti i termini del brand con un glossario,Як додати глосарій для узгодженого з брендом перекладу,Підтримуйте узгодженість термінів бренду за допомогою глосарія,Как добавить глоссарий для перевода в стиле бренда,Поддерживайте единообразие терминов бренда с помощью глоссария,브랜드에 맞는 번역을 위한 용어집 추가 방법,용어집으로 브랜드 용어의 일관성을 유지하세요,Markaya uygun çeviriler için terim sözlüğü nasıl eklenir,Marka terimlerini bir terim sözlüğüyle tutarlı tutun,
rewrite,P0,home-setup-guide,yes,needs-rewrite,v4Mvp.setupGuide.thirdParty.step2,public/locales/{code}/translation.json,"On the translation page, check Custom Liquid / third-party text.","On the translation page, select Custom Liquid / third-party text","On the translation page, select Custom Liquid / third-party text","Sur la page de traduction, cochez Custom Liquid / third-party text.","Sur la page de traduction, sélectionnez Custom Liquid / texte tiers",Aktiviere auf der Übersetzungsseite Custom Liquid / third-party text.,Wählen Sie auf der Übersetzungsseite „Custom Liquid / Drittanbietertext“ aus,"En la página de traducción, marca Custom Liquid / third-party text.","En la página de traducción, selecciona Custom Liquid / texto de terceros",翻訳ページで Custom Liquid / third-party text を選択します。,翻訳ページで「Custom Liquid / サードパーティテキスト」を選択します,在翻譯頁面勾選 Custom Liquid / third-party text。,在翻譯頁面選擇 Custom Liquid / 第三方文字,在翻译页面勾选 Custom Liquid / third-party text。,在翻译页面选择 Custom Liquid / 第三方文本,"Na página de tradução, selecione Custom Liquid / third-party text.","Na página de tradução, selecione Custom Liquid / texto de terceiros",Vink op de vertaalpagina Custom Liquid / third-party text aan.,Selecteer op de vertaalpagina Custom Liquid / tekst van derden,Markera Custom Liquid / third-party text på översättningssidan.,Välj Custom Liquid / text från tredje part på översättningssidan,"Nella pagina di traduzione, seleziona Custom Liquid / third-party text.","Nella pagina di traduzione, seleziona Custom Liquid / testo di terze parti",На сторінці перекладу позначте Custom Liquid / third-party text.,На сторінці перекладу виберіть Custom Liquid / сторонній текст,На странице перевода отметьте Custom Liquid / third-party text.,На странице перевода выберите Custom Liquid / сторонний текст,번역 페이지에서 Custom Liquid / third-party text를 선택하세요.,번역 페이지에서 Custom Liquid / 타사 텍스트를 선택하세요,Çeviri sayfasında Custom Liquid / third-party text seçeneğini işaretleyin.,Çeviri sayfasında Custom Liquid / üçüncü taraf metnini seçin,
rewrite,P0,home-setup-guide,yes,needs-rewrite,v4Mvp.setupGuide.thirdParty.title,public/locales/{code}/translation.json,How to translate third-party apps,Translate third-party app text,Translate third-party app text,Comment traduire les applications tierces,Traduire le texte des applications tierces,So übersetzt du Drittanbieter-Apps,Text von Drittanbieter-Apps übersetzen,Cómo traducir apps de terceros,Traducir texto de aplicaciones de terceros,サードパーティアプリを翻訳するには,サードパーティアプリのテキストを翻訳,如何實現第三方 app 翻譯,翻譯第三方應用程式文字,如何实现第三方 app 翻译,翻译第三方应用文本,Como traduzir aplicações de terceiros,Traduzir texto de aplicações de terceiros,Apps van derden vertalen,Tekst van apps van derden vertalen,Så översätter du tredjepartsappar,Översätt text från tredjepartsappar,Come tradurre le app di terze parti,Traduci il testo delle app di terze parti,Як перекладати сторонні додатки,Перекласти текст сторонніх додатків,Как переводить сторонние приложения,Перевести текст сторонних приложений,타사 앱을 번역하는 방법,타사 앱 텍스트 번역,Üçüncü taraf uygulamalar nasıl çevrilir,Üçüncü taraf uygulama metnini çevir,
rewrite,P0,home-setup-guide,yes,needs-rewrite|title-case,v4Mvp.setupGuide.title,public/locales/{code}/translation.json,Setup Guide,Setup guide,Setup guide,Guide de configuration,Guide de configuration,Einrichtungsleitfaden,Einrichtungsanleitung,Guía de configuración,Guía de configuración,セットアップガイド,セットアップガイド,新手指引,新手指引,新手指引,新手指引,Guia de configuração,Guia de configuração,Installatiegids,Installatiegids,Installationsguide,Installationsguide,Guida di configurazione,Guida di configurazione,Посібник із налаштування,Посібник із налаштування,Руководство по настройке,Руководство по настройке,설정 가이드,설정 가이드,Kurulum kılavuzu,Kurulum kılavuzu,
rewrite,P0,home-setup-guide,yes,needs-rewrite,v4Mvp.setupGuide.translate.description,public/locales/{code}/translation.json,Add at least one language and select modules to translate your store in one go.,Add at least one language and select modules to translate your store.,Add at least one language and select modules to translate your store.,Ajoutez au moins une langue et sélectionnez des modules pour traduire votre boutique en une fois.,Ajoutez au moins une langue et sélectionnez les modules à traduire dans votre boutique.,"Füge mindestens eine Sprache hinzu und wähle Module, um deinen Shop auf einmal zu übersetzen.","Fügen Sie mindestens eine Sprache hinzu und wählen Sie die Module aus, die in Ihrem Shop übersetzt werden sollen.",Añade al menos un idioma y selecciona módulos para traducir tu tienda de una vez.,Añade al menos un idioma y selecciona los módulos que quieres traducir en tu tienda.,言語を追加し、モジュールを選んでストアをまとめて翻訳します。,少なくとも1つの言語を追加し、ストアで翻訳するモジュールを選択します。,新增語言並選擇模組，一次翻譯商店內容。,新增至少一種語言，並選擇要用於翻譯商店的模組。,添加语言并选择模块，一次性翻译店铺内容。,添加至少一种语言，并选择要用于翻译店铺的模块。,Adicione pelo menos um idioma e selecione módulos para traduzir a loja de uma só vez.,Adicione pelo menos um idioma e selecione os módulos para traduzir a sua loja.,Voeg minstens één taal toe en selecteer modules om je winkel in één keer te vertalen.,Voeg ten minste één taal toe en selecteer modules om je winkel te vertalen.,Lägg till minst ett språk och välj moduler för att översätta butiken på en gång.,Lägg till minst ett språk och välj moduler för att översätta din butik.,Aggiungi almeno una lingua e seleziona i moduli per tradurre il negozio in un’unica volta.,Aggiungi almeno una lingua e seleziona i moduli per tradurre il tuo negozio.,"Додайте принаймні одну мову та виберіть модулі, щоб перекласти магазин за один раз.",Додайте принаймні одну мову та виберіть модулі для перекладу магазину.,"Добавьте хотя бы один язык и выберите модули, чтобы перевести магазин за один раз.",Добавьте хотя бы один язык и выберите модули для перевода магазина.,언어를 하나 이상 추가하고 모듈을 선택해 스토어를 한 번에 번역하세요.,언어를 하나 이상 추가하고 스토어를 번역할 모듈을 선택하세요.,En az bir dil ekleyin ve mağazanızı tek seferde çevirmek için modülleri seçin.,En az bir dil ekleyin ve mağazanızı çevirmek için modülleri seçin.,
rewrite,P0,home-setup-guide,yes,needs-rewrite|click-tap,v4Mvp.setupGuide.translate.step1,public/locales/{code}/translation.json,Click Batch Translate.,Open batch translation,Open batch translation,Cliquez sur Traduction par lots.,Ouvrir la traduction par lots,Klicke auf Stapelübersetzung.,Stapelübersetzung öffnen,Haz clic en Traducción masiva.,Abrir traducción por lotes,「一括翻訳」をクリックします。,一括翻訳を開く,點擊「批次翻譯」。,開啟批次翻譯,点击「批量翻译」。,打开批量翻译,Clique em Tradução em lote.,Abrir tradução em lote,Klik op Batchvertaling.,Batchvertaling openen,Klicka på Batchöversättning.,Öppna massöversättning,Fai clic su Traduzione batch.,Apri traduzione in batch,Натисніть «Пакетний переклад».,Відкрити пакетний переклад,Нажмите «Пакетный перевод».,Открыть пакетный перевод,일괄 번역을 클릭하세요.,일괄 번역 열기,Toplu çeviri’ye tıklayın.,Toplu çeviriyi aç,
rewrite,P0,home-setup-guide,yes,needs-rewrite|heading-question,v4Mvp.setupGuide.translate.title,public/locales/{code}/translation.json,How to batch translate all languages at once?,Batch-translate your store,Batch-translate your store,Comment traduire toutes les langues en une fois ?,Traduire votre boutique par lots,Wie übersetze ich alle Sprachen auf einmal?,Shop per Stapelübersetzung übersetzen,¿Cómo traducir todos los idiomas de una vez?,Traducir tu tienda por lotes,すべての言語を一度に一括翻訳するには？,ストアを一括翻訳,如何一次批次翻譯所有語言？,批次翻譯您的商店,如何一次性批量翻译所有语言？,批量翻译您的店铺,Como traduzir todos os idiomas de uma só vez?,Traduza a sua loja em lote,Hoe vertaal ik alle talen in één keer?,Vertaal je winkel in batches,Hur översätter jag alla språk på en gång?,Massöversätt din butik,Come tradurre tutte le lingue in una volta sola?,Traduci il tuo negozio in batch,Як пакетно перекласти всі мови одразу?,Виконайте пакетний переклад магазину,Как пакетно перевести все языки сразу?,Выполните пакетный перевод магазина,모든 언어를 한 번에 일괄 번역하는 방법은?,스토어 일괄 번역,Tüm diller tek seferde nasıl toplu çevrilir?,Mağazanızı toplu olarak çevirin,
